title,artist,link
Seated Male Nude in High-back Chair (1969),James Campbell,https://collections.ed.ac.uk/art/record/21270?highlight=*:*
Portrait of a Man (1959),John O'Neill,https://collections.ed.ac.uk/art/record/21154?highlight=*:*
Hyde Park,Unknown,https://collections.ed.ac.uk/art/record/50476?highlight=*:*
Untitled - Portrait of a Man (1968),Alistair Bell,https://collections.ed.ac.uk/art/record/99378?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53632?highlight=*:*
Unknown (1947-1948),Marjorie Wallace,https://collections.ed.ac.uk/art/record/50444?highlight=*:*
North Berwick from Belhaven Bay (Unknown),Catherine Orbach,https://collections.ed.ac.uk/art/record/21792?highlight=*:*
Untitled (1962),Deborah Eadie,https://collections.ed.ac.uk/art/record/112447?highlight=*:*
Opuntia Basilaris Engelmann and Bigelow 1957 (1993-1994),Jane Watt,https://collections.ed.ac.uk/art/record/99459?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/53541?highlight=*:*
Unknown (1958),Andrew P. W. Conkie,https://collections.ed.ac.uk/art/record/50525?highlight=*:*
Seated Man in Traditional Dress (1960s),Barreton,https://collections.ed.ac.uk/art/record/21290?highlight=*:*
Portrait of a Man (1957),Unknown,https://collections.ed.ac.uk/art/record/21250?highlight=*:*
Studio Corner (2003),Peter Scott,https://collections.ed.ac.uk/art/record/99937?highlight=*:*
Prendre la clef des Chaps (1963),Ann F Ward,https://collections.ed.ac.uk/art/record/99346?highlight=*:*
Portrait of a Man (1961),James Fairgrieve,https://collections.ed.ac.uk/art/record/21396?highlight=*:*
Still Life with Garden Fork (1964),Alexander Moffat,https://collections.ed.ac.uk/art/record/93355?highlight=*:*
Untitled - Nude Female Lying On a Patterned Bed (1967),Kevin Maguire,https://collections.ed.ac.uk/art/record/99358?highlight=*:*
Landscape (1987),Brian Godley,https://collections.ed.ac.uk/art/record/112496?highlight=*:*
Untitled (1964),Carol Handyside,https://collections.ed.ac.uk/art/record/99840?highlight=*:*
Unknown (1950),James Bowman,https://collections.ed.ac.uk/art/record/50610?highlight=*:*
Unknown (1957),Peter G. Collins,https://collections.ed.ac.uk/art/record/50399?highlight=*:*
Isobel L Alexander sampler (1944),Isobel L Alexander,https://collections.ed.ac.uk/art/record/102668?highlight=*:*
Untitled (2003),Robin Kukiel,https://collections.ed.ac.uk/art/record/99932?highlight=*:*
Pair of sleeves,Unknown,https://collections.ed.ac.uk/art/record/102676?highlight=*:*
Three Views of a Standing Male Nude with hand on hip (1948),John Thompson,https://collections.ed.ac.uk/art/record/20845?highlight=*:*
Unknown (1968),Kenneth R Duffy,https://collections.ed.ac.uk/art/record/99514?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53622?highlight=*:*
'Gordini' Fairground Ride,Hazel Walker,https://collections.ed.ac.uk/art/record/21508?highlight=*:*
Untitled (Unknown),S J Dooley,https://collections.ed.ac.uk/art/record/99912?highlight=*:*
Saucer,Emma Gillies,https://collections.ed.ac.uk/art/record/53629?highlight=*:*
Unknown (1948),John W. Corner,https://collections.ed.ac.uk/art/record/50516?highlight=*:*
On Italian Balcony,Muriel Davidson,https://collections.ed.ac.uk/art/record/53477?highlight=*:*
Seated Male Nude (1955),Rosemary Gray,https://collections.ed.ac.uk/art/record/21188?highlight=*:*
Dispersion (1991),Alastair Clark,https://collections.ed.ac.uk/art/record/21911?highlight=*:*
Bust of St. Joseph (1912),C Pouzadoux,https://collections.ed.ac.uk/art/record/20550?highlight=*:*
Big Top (Circa 1968),Gillian Mather,https://collections.ed.ac.uk/art/record/21485?highlight=*:*
Drawing of a Seated Man (1955-1956),Eric Ritchie,https://collections.ed.ac.uk/art/record/20801?highlight=*:*
Felicity Who Went to Peru (1986),Faye Banks,https://collections.ed.ac.uk/art/record/21897?highlight=*:*
Reclining Male Nude (1954),Alex Sutherland,https://collections.ed.ac.uk/art/record/21248?highlight=*:*
Portrait of a Seated Woman (1954),John P Busby,https://collections.ed.ac.uk/art/record/21376?highlight=*:*
Untitled (1954),Ian Hodkinson,https://collections.ed.ac.uk/art/record/111041?highlight=*:*
Craigleith Island July '92 (1992),Delia M Surplice,https://collections.ed.ac.uk/art/record/99415?highlight=*:*
Italian quilting in frame,Unknown,https://collections.ed.ac.uk/art/record/102666?highlight=*:*
Tskihrva (Unknown),Boris Bućan,https://collections.ed.ac.uk/art/record/22043?highlight=*:*
Unttiled (Unknown),Adam M Martin,https://collections.ed.ac.uk/art/record/21830?highlight=*:*
Black Bodice (1996),Anna Millar,https://collections.ed.ac.uk/art/record/22612?highlight=*:*
Unknown,Unknown,https://collections.ed.ac.uk/art/record/50381?highlight=*:*
Back of Bennachie,Hazel Holmes,https://collections.ed.ac.uk/art/record/21623?highlight=*:*
Untitled (Unknown),Unknown,https://collections.ed.ac.uk/art/record/99960?highlight=*:*
